album_name,song_name,emotion,score
The Rolling Stones,Route 66,trust,0.746805966
The Rolling Stones,I Just Want To Make Love To You,sadness,0.665425122
The Rolling Stones,Honest I Do,sadness,0.736046016
The Rolling Stones,I Need You Baby (Mona),trust,1.060165048
The Rolling Stones,Little By Little,sadness,0.58956629
The Rolling Stones,I'm A King Bee,trust,0.659153461
The Rolling Stones,Carol,trust,0.621755779
The Rolling Stones,Tell Me,trust,0.751110196
The Rolling Stones,Can I Get A Witness,sadness,0.540885627
The Rolling Stones,You Can Make It If You Try,trust,0.758076191
The Rolling Stones,Walking The Dog,trust,0.659683108
12x5,Around And Around,trust,0.553105354
12x5,Confessin' The Blues,trust,0.512782454
12x5,Empty Heart,trust,0.672602713
12x5,Time Is On My Side,trust,0.93396306
12x5,"Good Times, Bad Times",sadness,0.432461351
12x5,It's All Over Now,trust,0.606713414
12x5,Under The Board Walk,trust,0.647853374
12x5,Congratulations,trust,1.302059174
12x5,Grown Up Wrong,trust,0.864796162
12x5,If You Need Me,sadness,0.753442466
12x5,Susie Q,trust,1.088558912
"The Rolling Stones, Now!",Everybody Needs Somebody To Love,sadness,0.47931689
"The Rolling Stones, Now!",Down Home Girl,trust,0.972894907
"The Rolling Stones, Now!",You Can't Catch Me,trust,0.728315473
"The Rolling Stones, Now!",Heart Of Stone,trust,0.657850981
"The Rolling Stones, Now!",What A Shame,sadness,0.661709666
"The Rolling Stones, Now!",I Need You Baby (Mona),trust,1.060165048
"The Rolling Stones, Now!",Down The Road Apiece,trust,0.65935123
"The Rolling Stones, Now!",Off The Hook,trust,0.625187218
"The Rolling Stones, Now!",Pain In My Heart,trust,0.721938372
"The Rolling Stones, Now!",Oh Baby (We Got A Good Thing Goin'),sadness,0.608661652
"The Rolling Stones, Now!",Little Red Rooster,sadness,0.60482657
"The Rolling Stones, Now!","Surprise, Surprise",sadness,0.450258523
Out Of Our Heads,Mercy Mercy,sadness,0.535464883
Out Of Our Heads,Hitch Hike,sadness,0.491273731
Out Of Our Heads,The Last Time,trust,0.628915191
Out Of Our Heads,That's How Strong My Love Is,trust,0.634697437
Out Of Our Heads,Good Times,trust,0.64992404
Out Of Our Heads,I'm Alright,trust,0.665423632
Out Of Our Heads,(I Can't Get No) Satisfaction,trust,0.750745416
Out Of Our Heads,Cry To Me,sadness,0.552697241
Out Of Our Heads,The Under Assistant West Coast Promotion Man,sadness,0.434126437
Out Of Our Heads,Play With Fire,trust,0.621336341
Out Of Our Heads,The Spider And The Fly,sadness,0.554648638
Out Of Our Heads,One More Try,sadness,0.563919842
December's Children (And Everybody's),She Said Yeah,trust,0.44866854
December's Children (And Everybody's),Talkin' About You,trust,0.682745755
December's Children (And Everybody's),You Better Move On,sadness,0.628728688
December's Children (And Everybody's),Look What You've Done,sadness,0.576395273
December's Children (And Everybody's),The Singer Not The Song,sadness,0.650926888
December's Children (And Everybody's),Route 66,trust,0.746805966
December's Children (And Everybody's),Get Off Of My Cloud,trust,0.541250527
December's Children (And Everybody's),I'm Free,trust,0.868685603
December's Children (And Everybody's),As Tears Go By,trust,0.608228564
December's Children (And Everybody's),Gotta Get Away,trust,0.665970981
December's Children (And Everybody's),Blue Turns To Grey,trust,0.50317806
December's Children (And Everybody's),I'm Moving On,trust,0.542026401
Aftermath,Paint It Black,trust,0.561554015
Aftermath,Stupid Girl,sadness,0.690932155
Aftermath,Lady Jane,trust,0.832185149
Aftermath,Under My Thumb,sadness,0.708304822
Aftermath,Doncha Bother Me,sadness,0.663733721
Aftermath,Think,trust,0.499778271
Aftermath,Flight 505,trust,0.56932044
Aftermath,High And Dry,trust,0.469093144
Aftermath,It's Not Easy,sadness,0.422392398
Aftermath,I Am Waiting,trust,0.670180142
Aftermath,Going Home,sadness,0.534764111
Between The Buttons,Let's Spend The Night Together,trust,0.597961962
Between The Buttons,Yesterday's Papers,trust,0.553276658
