album_type,album_name,album_year,song_name,song_lyrics,emotion,score
album,The Rolling Stones,1964,Route 66,"Well if you ever plan to motor west. Just take my way that's the highway that's the best. Get your kicks on Route 66. Well it winds from Chicago to L.A.. More than 2000 miles all the way. Get your kicks on Route 66. Well goes from St. Louie down to Missouri. Oklahoma city looks oh so pretty. You'll see Amarillo and Gallup, New Mexico. Flagstaff, Arizona don't forget Winona. Kingman, Barstow, San Bernadino. Would you get hip to this kindly tip. And go take that California trip. Get your kicks on Route 66. Well goes from St. Louie down to Missouri. Oklahoma city looks oh so pretty. You'll see Amarillo and Gallup, New Mexico. Flagstaff, Arizona don't forget Winona. Kingman, Barstow, San Bernadino. Would you get hip to this kindly tip. And go take that California trip. Get your kicks on Route 66",joy,0.570626
album,The Rolling Stones,1964,I Just Want To Make Love To You,"I don't want you be no slave. I don't want you work all day. I don't want 'cause I'm sad and blue. I just want to make love to you, baby. Love to you, baby. Love to you, baby. Love to you. I don't want you cook my bread. I don't want you make my bed. I don't want your money too. I just want to make love to you, baby. Love to you, baby. Love to you, baby. Love to you. Well I can tell by the way that you twitch and walk. See by the way that you baby talk. Know by the way that you treat your man. I can love you, baby, till the night train. I don't want you wash my clothes. I don't want you leave the home. I don't want 'cause I'm sad and blue. I just want to make love to you, baby. Love to you, baby. Love to you, baby. Love to you. Yeah. I don't want you wash my clothes. I don't want you leave the home. I don't want 'cause I'm sad and blue. I just want to make love to you, baby. Love to you, baby. Love to you, baby. Sweet love to you, baby. Love to you, baby. I just wanna make love to you, baby. Love to you, baby. Love to you, baby. Love to you. I just, I just want ot make love to you, baby. I just want to make love",tentative,0.76777
album,The Rolling Stones,1964,Honest I Do,Don't you know that I love you. Honest I do. I'll never please. No one but you. Please tell me you love me. Stop driving me mad. You the sweetest little woman. That I ever had. Please tell me you love me. Stop driving me mad. When I woke up this morning. Never felt so bad,confident,0.752665
album,The Rolling Stones,1964,I Need You Baby (Mona),"I say hey, Mona. Oh, Mona. I say yeah, yeah, yeah, yeah, Mona. Oh, Mona. I tell you Mona what I wanna do. I'll build a house next door to you. Can I see you sometimes?. We can blow kisses through the blinds. Yeah can I out come out on the front. And listen to my heart go bumpety bump. I need you baby that's no lie. Without your love I'd surely die. I say hey, Mona. Oh, Mona. I say yeah, yeah, yeah, yeah, Mona. Oh, Mona. I say hey, hey Mona. Oh, Mona. I say yeah, yeah, yeah, yeah, Mona. Oh, Mona. I tell you Mona what I wanna do. I'm gonna build a house next door to you. Can I see you sometime?. We can blow kisses through the blinds. Yeah can I out come out on the front. And listen to my heart go bumpety bump. I need you baby that's no lie. Without your love I'd surely die. I say hey, hey Mona. Oh, Mona. I say yeah, yeah, yeah, yeah, Mona. Oh, Mona",joy,0.579302
album,The Rolling Stones,1964,Little By Little,"Tried to trail you last night, baby, trail you in my car. But I was afraid of what I was looking for. And little by little I'm losin' my love for you. Yeah, little by little I've found out you was untrue. Alright, Keith, come on, now. Well I try not to bear a grudge, a girl's gonna hitch a ride. Things ain't been the same since my mother died. Yeah, little by little, I'm losin' my love for you. Yeah, little by little I've found out you was untrue",fear,0.649992
album,The Rolling Stones,1964,I'm A King Bee,"Well I'm a king bee. Buzzing around your hive. Well I'm a king bee, baby. Buzzing around your hive. Yeah I can make honey baby. Let me come inside. Well I'm a king bee. Want you to be my queen. Well I'm a king bee, baby. Want you to be my queen. Together we can make honey. The world has never seen. Well, buzz a while.... Sting you bad.... Well I'm a king bee. Can buzz all night long. Well I'm a king bee, baby. Can buzz all night long. Yeah I can buzz better baby. When your man is gone",joy,0.673975
album,The Rolling Stones,1964,Carol,"Oh, Carol. Don't let him steal your heart away. I'm gonna learn to dance. If it takes me all night and day. Climb into my machine so we can groove on out. I know some swinging little joint where we can jump and shout. It's not too far back on the highway not so long a ride. You park the car out in the open you can walk inside. A little cutie takes your hat and you can thank her ma'am. 'Cause every time you make the scene you find the joint is jammed. Oh, Carol. Don't let him steal your heart away. I'm gonna learn to dance. If it takes me all night and day. Now, if you want to hear some music like the boys are playing. Hold tight, bang your foot don't let it carry you away. Don't let the heat overcome you when they play so loud. Won't the music intrigue you when they get a crowd. Well you can't dance I know you would you could. I got my eyes on you, baby, cause you dance so good. Oh, Carol. Don't let him steal your heart away. I'm gonna learn to dance. If it takes me all night and day. Oh, Carol. Don't let him steal your heart away. I've got to learn to dance. If it takes me all night and day",joy,0.625864
album,The Rolling Stones,1964,Tell Me,"I want you back again. I want your love again. I know you find it hard to reason with me. But this time it's different, darling you'll see. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me. You said we're through before. You walked out on me before. I tried to tell you, but you didn't want to know. This time you're different and determined to go. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me. I wait as the days go by. I long for the nights to go by. I hear the knock on my door that never comes. I hear the telephone that hasn't rung. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me",joy,0.574678
album,The Rolling Stones,1964,Can I Get A Witness,"Ah ah listen to everybody (body). Especially you girls (girl). It's not right to be left alone. When the one you love is never home. I loved to hard my friends sometime say. But I believe, I believe. That a woman should be loved that way. But it hurts me so inside. To see you treat me so unkind. Somebody, somewhere tell her it ain't fair. Can I get a witness (can I get a witness). I want a witness (can I get a witness). I want a witness (can I get a witness). Somebody (can I get a witness). Is it right to be treated so bad. When you give it everything you had. If I talks in my sleep. 'Cuz I haven't seen my baby all week. Now you chicks you all agree. This ain't the way it's supposed to be. Let me hear you. Let me hear you say, ""yeah yeah"". Up early in the morning. Well they're all in my mind. Just to find her out all night. Well I've been crying. But I believe. A women's a man's best friend. I'm gonna stick by her. 'Till the very end. Well she caused me so much misery. I forget how it's supposed to be. Somebody, somewhere. Tell her it ain't fair. Can I get a witness. Can I get a witness (can I get a witness). I want a witness (can I get a witness). Witness, witness (can I get a witness). Witness, witness (can i get a witness). Everybody knows, especially you girls. That a love can be sad. But half a loves is twice as bad. Now you chicks you all agree. That ain't the way love's supposed to be. Let me hear ya. Let me hear you say ""yeah yeah"". I want a witness (can I get a witness). I want a witness (can I get a witness). Yeah I want a witness (I want a witness). Somebody (can I get a witness). Is it right to be treated so bad. When you give it everything you had. If I talk, in my sleep. 'Cuz i haven't seen my baby all week. Yeah she caused me so much misery. That ain't the way it's supposed to be. Let me hear. Let me hear you say ""yeah yeah"". I want a witness (can I get a witness). I want a witness (can I get a witness). I want be (can I get a witness). I want a witness (can I get a witness). Witness, witness. I want a witness",sadness,0.576728
album,The Rolling Stones,1964,You Can Make It If You Try,"You can make it if you try. You can make it if you try. You can make it if you try. Yeh, yeh you can make it if you try. Sometime you had to fall. Don't you know sometime you want to cry. Don't it make you feel so bad sometime. You wanna lay down and die. Yeh, yeh, you can make it if you try, ummmmmmm. If you're baby treats you wrong. Don't run around being blue. Remember my friend. Everybdody can't win. 'Cuz you know sometime, sometime. You got to lose. You can make it if you try. They always told me. I could make it if I tried. I'm going to make it if i try. Yeh, yeh, i'm gonna make it if I try. If you try",tentative,0.965794
