song_name,emotion,score
Route 66,joy,0.570626
I Just Want To Make Love To You,sadness,0.672707
I Just Want To Make Love To You,joy,0.702215
I Just Want To Make Love To You,tentative,0.76777
Honest I Do,joy,0.610802
Honest I Do,fear,0.674055
Honest I Do,anger,0.672294
Honest I Do,sadness,0.672207
Honest I Do,confident,0.752665
I Need You Baby (Mona),sadness,0.571595
I Need You Baby (Mona),joy,0.579302
Little By Little,fear,0.649992
Little By Little,sadness,0.64205
Little By Little,joy,0.62978
I'm A King Bee,joy,0.673975
Carol,sadness,0.577498
Carol,joy,0.625864
Tell Me,joy,0.574678
Can I Get A Witness,sadness,0.576728
Can I Get A Witness,joy,0.542068
Can I Get A Witness,tentative,0.522257
You Can Make It If You Try,sadness,0.678668
You Can Make It If You Try,tentative,0.965794
You Can Make It If You Try,analytical,0.596122
Walking The Dog,joy,0.557272
Walking The Dog,tentative,0.556422
Around And Around,joy,0.596709
Around And Around,confident,0.590729
Confessin' The Blues,joy,0.671387
Confessin' The Blues,tentative,0.55795
Empty Heart,sadness,0.676298
Empty Heart,joy,0.506617
Empty Heart,tentative,0.520885
Time Is On My Side,joy,0.561258
"Good Times, Bad Times",sadness,0.612454
"Good Times, Bad Times",joy,0.595668
"Good Times, Bad Times",tentative,0.819274
It's All Over Now,fear,0.605862
It's All Over Now,sadness,0.653106
It's All Over Now,joy,0.660707
It's All Over Now,confident,0.935988
Under The Board Walk,joy,0.660875
Under The Board Walk,tentative,0.629825
Congratulations,sadness,0.543954
Congratulations,joy,0.62356
Congratulations,tentative,0.916274
Grown Up Wrong,joy,0.663715
Grown Up Wrong,confident,0.774455
If You Need Me,joy,0.595537
If You Need Me,sadness,0.545541
If You Need Me,confident,0.755641
Susie Q,joy,0.643574
Susie Q,confident,0.828525
Everybody Needs Somebody To Love,sadness,0.598801
Everybody Needs Somebody To Love,joy,0.579283
Everybody Needs Somebody To Love,tentative,0.70849
Down Home Girl,joy,0.537789
You Can't Catch Me,sadness,0.52142
You Can't Catch Me,joy,0.578317
Heart Of Stone,sadness,0.648528
Heart Of Stone,joy,0.586665
Heart Of Stone,tentative,0.75915
What A Shame,fear,0.70769
What A Shame,sadness,0.747342
I Need You Baby (Mona),sadness,0.571595
I Need You Baby (Mona),joy,0.579302
Down The Road Apiece,sadness,0.55278
Down The Road Apiece,tentative,0.808202
Pain In My Heart,sadness,0.687632
Pain In My Heart,joy,0.606586
Pain In My Heart,tentative,0.524716
Oh Baby (We Got A Good Thing Goin'),joy,0.609406
Little Red Rooster,confident,0.586136
"Surprise, Surprise",joy,0.511071
"Surprise, Surprise",tentative,0.51835
Mercy Mercy,joy,0.606039
Hitch Hike,joy,0.615425
The Last Time,sadness,0.564922
The Last Time,tentative,0.964049
That's How Strong My Love Is,sadness,0.625693
That's How Strong My Love Is,joy,0.751066
Good Times,joy,0.56133
Good Times,confident,0.738856
I'm Alright,joy,0.564147
(I Can't Get No) Satisfaction,joy,0.538693
(I Can't Get No) Satisfaction,tentative,0.837347
Cry To Me,sadness,0.716343
Cry To Me,tentative,0.500791
The Under Assistant West Coast Promotion Man,joy,0.537745
The Under Assistant West Coast Promotion Man,confident,0.523927
Play With Fire,sadness,0.664854
Play With Fire,joy,0.527538
Play With Fire,tentative,0.82043
The Spider And The Fly,fear,0.581598
The Spider And The Fly,joy,0.547515
The Spider And The Fly,tentative,0.831699
One More Try,sadness,0.661605
One More Try,tentative,0.835336
She Said Yeah,sadness,0.531791
She Said Yeah,joy,0.622167
She Said Yeah,tentative,0.527472
Talkin' About You,joy,0.603198
You Better Move On,joy,0.701131
Look What You've Done,fear,0.523624
Look What You've Done,sadness,0.645597
Look What You've Done,joy,0.650717
Look What You've Done,confident,0.504961
The Singer Not The Song,joy,0.528808
The Singer Not The Song,sadness,0.536578
The Singer Not The Song,confident,0.651166
Route 66,joy,0.570626
Get Off Of My Cloud,sadness,0.512332
Get Off Of My Cloud,joy,0.508742
Get Off Of My Cloud,tentative,0.637895
I'm Free,joy,0.741685
I'm Free,tentative,0.920133
As Tears Go By,sadness,0.691582
As Tears Go By,joy,0.525887
As Tears Go By,confident,0.604855
Gotta Get Away,joy,0.51041
Blue Turns To Grey,sadness,0.629586
Blue Turns To Grey,analytical,0.6459
Blue Turns To Grey,tentative,0.957598
Paint It Black,joy,0.61403
Stupid Girl,joy,0.501711
Stupid Girl,anger,0.600023
Stupid Girl,sadness,0.508112
Stupid Girl,tentative,0.82504
Stupid Girl,analytical,0.933628
Lady Jane,joy,0.690473
Under My Thumb,joy,0.568612
Under My Thumb,tentative,0.586281
Doncha Bother Me,sadness,0.539089
Think,joy,0.539218
Think,analytical,0.817633
Flight 505,fear,0.537055
Flight 505,joy,0.594592
High And Dry,sadness,0.58926
High And Dry,tentative,0.808859
It's Not Easy,sadness,0.645548
