album_type,album_name,album_year,song_name,song_lyrics
EP,The Rolling Stones,1964,Bye Bye Johnny,"Well she drew out all her money out from southern trust. And put a little boy aboard a Greyhound bus. Leaving Louisiana for the golden west. Down came her tears from her happiness. Her own little son named Johnny B Goode. Was gonna make some motion pictures out in Hollywood. Bye bye, bye bye bye. Bye bye, bye bye bye. Bye bye Johnny, bye bye Johnny B Goode. Well, she remember taking money out from gathering crops. And buying Johnny's guitar at a broker shop. As long as he could play it by the railroad side. And wouldn't get in trouble she'd be satisfied. Never thought there'd ever come a day like this. When she would gladly give her son a goodbye kiss. Bye bye, bye bye bye. Bye bye, bye bye bye. Bye bye Johnny, bye bye Johnny B Goode. Well she finally got the letter she was dreaming of. Johnny wrote and told her he had fell in love. As soon as he was married he would bring her back. And build a mansion for her by the railroad tracks. And every time they heard the locomotive roar. They'd be a standing, waving in the kitchen door. Bye bye, bye bye bye. Bye bye, bye bye bye. Bye bye Johnny, bye bye Johnny B Goode"
EP,The Rolling Stones,1964,Money,"The best things in life are free. Look I'll give 'em to the birds and bees. I want money (that's what I want). Yeah, that's what I want (that's what I want). That's what I want, oh yeah (that's what I want). That's what I want (oh yeah, that's what I want). Money don't buy everything it's true. What it don't buy I can't use. I want money (that's what I want). Oh come on baby (that's what I want). That's what I want, whoa oh (that's what I want). That's what I want (oh yeah, that's what I want). Yeah, yeah, yeah. Your love give me such a thrill. But you love won't pay my bills. I want money (that's what I want). Yeah (that's what I want). That's what I want, oh yeah (that's what I want). That's what I want (oh yeah, that's what I want). Yeah give me money, yeah, yeah, yeah (that's what I want). Lots of money, yeah, yeah, yeah (that's what I want). If you want me to love you (that's what I want). Give me money (oh yeah, that's what I want). If you want me to squeeze you (that's what I want). That's what I want, oh yeah (that's what I want). That's what I want (oh yeah, that's what I want). Give me money. Come on baby, lots of money. Yeah now, if you want me to love you (that's what I want). If you want me to hold you (that's what I want). That's what I want. Come on baby. Give me what I want"
EP,The Rolling Stones,1964,You Better Move On,"You ask me to give up the hand of the girl I love. You tell me I'm not the man she's worthy of. But who are you to tell her who to love?. That's up to her, yes, and the Lord above. You better move on. Well I know you can buy her fancy clothes and diamond rings. But I believe she's happy with me without those things. Still you beg me to set her free. But my friend, that will never be. You better move on. Now I don't blame you for loving her. But can't you understand, man, she's my girl. And I'm never never ever gonna let her go. 'Cause I, yeah, I love her so. I think you better go now, I'm getting mighty mad. You ask me to give up the only love I've ever had. Maybe I would, oh, but I love her so. I'm never gonna let her go. You better move on (you better move on). You better move on (you better move on). You better move on (you better move on). Yeah, you better move on (you better move on)"
EP,The Rolling Stones,1964,Poison Ivy,"She comes on like a rose. And everybody knows. She'll get you in dutch. You can look but you'd better not touch. Poison ivy, poison ivy. Well late at night while you're sleeping. Poison ivy comes a-creeping all around. She's pretty as a daisy. But look out man she's crazy. She'll really do you in. If you let her get under your skin. Poison ivy, poison ivy. Well late at night when you're sleeping. Poison ivy comes a creeping all around. Measles make you bumpy and mumps'll make you lumpy. And chicken pox'll make you jump and twitch. A common cold'll cool you but whooping cough'll fool you. But poison ivy's gonna make you itch. You're gonna need an ocean. Of calamine lotion. You'll be scratching like a hound. The minute you start to mess around. Poison ivy, poison ivy. Well late at night when you're sleeping. Poison ivy comes a-creeping all around. Measles make you bumpy and mumps'll make you lumpy. And chicken pox'll make you jump and twitch. A common cold'll cool you, a whooping cough'll fool you. But poison ivy's gonna make you itch. You're gonna need an ocean. Of calamine lotion. You'll be scratching like a hound. The minute you start to mess around. Poison ivy, poison ivy. Well late at night when you're sleeping. Poison ivy comes a creeping all around. La la la la..."
album,The Rolling Stones,1964,Route 66,"Well if you ever plan to motor west. Just take my way that's the highway that's the best. Get your kicks on Route 66. Well it winds from Chicago to L.A.. More than 2000 miles all the way. Get your kicks on Route 66. Well goes from St. Louie down to Missouri. Oklahoma city looks oh so pretty. You'll see Amarillo and Gallup, New Mexico. Flagstaff, Arizona don't forget Winona. Kingman, Barstow, San Bernardino. Would you get hip to this kindly tip. And go take that California trip. Get your kicks on Route 66. Well goes from St. Louie down to Missouri. Oklahoma city looks oh so pretty. You'll see Amarillo and Gallup, New Mexico. Flagstaff, Arizona don't forget Winona. Kingman, Barstow, San Bernardino. Would you get hip to this kindly tip. And go take that California trip. Get your kicks on Route 66"
album,The Rolling Stones,1964,I Just Want To Make Love To You,"I don't want you be no slave. I don't want you work all day. I don't want 'cause I'm sad and blue. I just want to make love to you, baby. Love to you, baby. Love to you, baby. Love to you. I don't want you cook my bread. I don't want you make my bed. I don't want your money too. I just want to make love to you, baby. Love to you, baby. Love to you, baby. Love to you. Well I can tell by the way that you twitch and walk. See by the way that you baby talk. Know by the way that you treat your man. I can love you, baby, till the night train. I don't want you wash my clothes. I don't want you leave the home. I don't want 'cause I'm sad and blue. I just want to make love to you, baby. Love to you, baby. Love to you, baby. Love to you. Yeah. I don't want you wash my clothes. I don't want you leave the home. I don't want 'cause I'm sad and blue. I just want to make love to you, baby. Love to you, baby. Love to you, baby. Sweet love to you, baby. Love to you, baby. I just wanna make love to you, baby. Love to you, baby. Love to you, baby. Love to you. I just, I just want ot make love to you, baby. I just want to make love"
album,The Rolling Stones,1964,Honest I Do,Don't you know that I love you. Honest I do. I'll never please. No one but you. Please tell me you love me. Stop driving me mad. You the sweetest little woman. That I ever had. Please tell me you love me. Stop driving me mad. When I woke up this morning. Never felt so bad
album,The Rolling Stones,1964,I Need You Baby (Mona),"Machine Gun Kelly - ""Why Are You Here"". NF - ""PAID MY DUES"". Kehlani - ""All Me"". Alec Benjamin - ""Mind Is A Prison"". Alan Walker & Ava Max - ""Alone, Pt. II"""
album,The Rolling Stones,1964,Little By Little,"Tried to trail you last night, baby, trail you in my car. But I was afraid of what I was looking for. And little by little I'm losin' my love for you. Yeah, little by little I've found out you was untrue. Alright, Keith, come on, now. Well I try not to bear a grudge, a girl's gonna hitch a ride. Things ain't been the same since my mother died. Yeah, little by little, I'm losin' my love for you. Yeah, little by little I've found out you was untrue"
album,The Rolling Stones,1964,I'm A King Bee,"Machine Gun Kelly - ""Why Are You Here"". NF - ""PAID MY DUES"". Kehlani - ""All Me"". Alec Benjamin - ""Mind Is A Prison"". Alan Walker & Ava Max - ""Alone, Pt. II"""
